LTlCaCGZE14GuaUXUGbamg,36.1922841,-115.1592718,5.0,9,"[u'Caterers', u'Grocery', u'Food', u'Event Planning & Services', u'Party & Event Planning', u'Specialty Food']",Cut and Taste
MFneYHieJ_lnjMeFUGKVbw,36.0345795,-115.0977701,5.0,7,"[u'Nail Salons', u'Hair Salons', u'Beauty & Spas']",Revv Illusions
42romV8altAeuZuP2OC1gw,36.029596485,-115.085821152,4.0,38,"[u'Hawaiian', u'Restaurants', u'Barbeque']",Ohana Hawaiian BBQ
AGN788ObhwXu7rb8MEejIA,36.172259,-115.1963237,1.5,4,"[u'Shoe Stores', u'Fashion', u'Shopping']",Sheik Shoes
XK5w8XnbP8CdeoB44kn1bg,36.1808408,-115.241325,4.0,14,"[u'Local Services', u'Notaries', u'Professional Services', u'Shipping Centers', u'Mailbox Centers', u'Lawyers']",Mail Link
saWZO6hB4B8P-mIzS1--Xw,36.1010205,-115.2443122,2.5,15,"[u'Persian/Iranian', u'Restaurants', u'Ethnic Food', u'Food', u'Greek', u'Specialty Food']",Kabob Palace
U8_JrQdIpuTKw60vjc1-cw,36.1137116,-115.3063648,5.0,7,"[u'Hair Salons', u'Hair Stylists', u'Beauty & Spas']",Shear Happiness by Brittany
HanDs-I7qnmd-WXUrKP5HQ,36.1679035,-115.138142,5.0,4,"[u'Shopping', u'Accessories', u'Used', u'Vintage & Consignment', u'Fashion']",Max Luxx
SGpnlO6TBpR_IFgOa3F8EQ,36.0560257561,-115.225150438,2.5,9,"[u'Smog Check Stations', u'Automotive']",Jiffy Smog
hMh9XOwNQcu31NAOCqhAEw,36.099142,-115.136192,3.5,33,"[u'Restaurants', u'Vegetarian', u'Indian']",Taste of India
pmJqSsCfgbo3TxPWpQNLIw,36.0658388,-115.1239441,4.5,35,"[u'American (New)', u'Cafes', u'Restaurants']",Artisanal Foods Cafe
4aU5TN3Q5SQB7DLeXza7dg,36.0692097,-115.1773388,4.5,12,"[u'Sewing & Alterations', u""Men's Clothing"", u'Shopping', u'Local Services', u'Fashion', u'Formal Wear']",Kech Men's Wear
-gNGk0SIbdBNSRBrzQAeSA,36.175,-115.136389,4.5,13,"[u'Pets', u'Veterinarians']",Waggin Wheels Mobile Clinic
PhGpWmiHPlgCjQNb6qYZYA,36.3997112534,-115.189260704,5.0,4,"[u'Hiking', u'Active Life', u'Parks']",Gass Peak
V94gk_Vx0Ot623UGHG6PrA,36.2919853,-115.1806678,3.0,105,"[u'Restaurants', u'Mexican', u'American (Traditional)']",The Salted Lime
kUUBBLBHCasOl2a5nW9nAw,36.2384622,-115.2319504,3.5,9,"[u'Nightlife', u'Bars', u'Restaurants', u'Thai', u'Sports Bars']",Bailey's Sports Bar & Eatery
A2pZTpFXWC38z506XIhnBQ,36.2497194319,-115.244528251,3.5,41,"[u'Chicken Wings', u'Fast Food', u'Restaurants']",Wingstop
P4l4CgT90FgppT5krYnNzw,36.171192,-115.063465,1.0,4,"[u'Apartments', u'Home Services', u'Real Estate']",Oasis Springs Apartments
